symbol,date,volume,high,close,low,open
AAPL,2025-04-03,102947073,207.490000000000009095,203.189999999999997726,201.250000000000000000,205.539999999999992042
AAPL,2025-04-02,31731885,225.189999999999997726,223.889999999999986358,221.020000000000010232,221.314999999999997726
AAPL,2025-04-01,36361327,223.680000000000006821,223.189999999999997726,218.900000000000005684,219.805000000000006821
AAPL,2025-03-31,65078252,225.620000000000004547,222.129999999999995453,216.229999999999989768,217.004999999999995453
AAPL,2025-03-28,39784100,223.810000000000002274,217.900000000000005684,217.680000000000006821,221.669999999999987494
AAPL,2025-03-27,36700954,224.990000000000009095,223.849999999999994316,220.560100000000005593,221.389999999999986358
AAPL,2025-03-26,34436815,225.020000000000010232,221.530000000000001137,220.469999999999998863,223.509999999999990905
AAPL,2025-03-25,34299912,224.099999999999994316,223.750000000000000000,220.080000000000012506,220.770000000000010232
AAPL,2025-03-24,42364298,221.479999999999989768,220.729999999999989768,218.580000000000012506,221.000000000000000000
AAPL,2025-03-21,93954500,218.840000000000003411,218.270000000000010232,211.280000000000001137,211.560000000000002274
AAPL,2025-03-20,48775040,217.489900000000005775,214.099999999999994316,212.219999999999998863,213.990000000000009095
AAPL,2025-03-19,54237276,218.759999999999990905,215.240000000000009095,213.750000000000000000,214.219999999999998863
AAPL,2025-03-18,41207689,215.150000000000005684,212.689999999999997726,211.490000000000009095,214.159999999999996589
AAPL,2025-03-17,47841607,215.219999999999998863,214.000000000000000000,209.969999999999998863,213.310000000000002274
AAPL,2025-03-14,60060200,213.949999999999988631,213.490000000000009095,209.580000000000012506,211.250000000000000000
AAPL,2025-03-13,60306872,216.839400000000011914,209.680000000000006821,208.419999999999987494,215.949999999999988631
AAPL,2025-03-12,62466400,221.750000000000000000,216.979999999999989768,214.909999999999996589,220.139999999999986358
AAPL,2025-03-11,73947348,225.839900000000000091,220.840000000000003411,217.449999999999988631,223.805000000000006821
AAPL,2025-03-10,71374783,236.159999999999996589,227.479999999999989768,224.219999999999998863,235.539999999999992042
AAPL,2025-03-07,46245700,241.370000000000004547,239.069999999999993179,234.759999999999990905,235.104999999999989768
AAPL,2025-03-06,44375329,237.860000000000013642,235.330000000000012506,233.158099999999990359,234.435000000000002274
AAPL,2025-03-05,47200800,236.550000000000011369,235.740000000000009095,229.229999999999989768,235.419999999999987494
AAPL,2025-03-04,53101971,240.069999999999993179,235.930000000000006821,234.680000000000006821,237.705000000000012506
AAPL,2025-03-03,46788610,244.027199999999993452,238.030000000000001137,236.111999999999994770,241.789999999999992042
AAPL,2025-02-28,56796200,242.090000000000003411,241.840000000000003411,230.199999999999988631,236.949999999999988631
AAPL,2025-02-27,40535155,242.460000000000007958,237.300000000000011369,237.060000000000002274,239.409999999999996589
AAPL,2025-02-26,43602013,244.979999999999989768,240.360000000000013642,239.129999999999995453,244.330000000000012506
AAPL,2025-02-25,46872348,250.000000000000000000,247.039999999999992042,244.909999999999996589,248.000000000000000000
AAPL,2025-02-24,51143732,248.860000000000013642,247.099999999999994316,244.419999999999987494,244.925000000000011369
AAPL,2025-02-21,53119400,248.689999999999997726,245.550000000000011369,245.219999999999998863,245.949999999999988631
AAPL,2025-02-20,31125149,246.780000000000001137,245.830000000000012506,244.289999999999992042,244.939999999999997726
AAPL,2025-02-19,32184200,246.009999999999990905,244.870000000000004547,243.160400000000009868,244.659999999999996589
AAPL,2025-02-18,48158313,245.180000000000006821,244.469999999999998863,241.840000000000003411,244.150000000000005684
AAPL,2025-02-14,40896227,245.550000000000011369,244.599999999999994316,240.990000000000009095,241.250000000000000000
AAPL,2025-02-13,53543300,242.339900000000000091,241.530000000000001137,235.569999999999993179,236.909999999999996589
AAPL,2025-02-12,45243300,236.960000000000007958,236.870000000000004547,230.680000000000006821,231.199999999999988631
AAPL,2025-02-11,53677600,235.229999999999989768,232.620000000000004547,228.129999999999995453,228.199999999999988631
AAPL,2025-02-10,33035700,230.585000000000007958,227.650000000000005684,227.199999999999988631,229.569999999999993179
AAPL,2025-02-07,39666100,234.000000000000000000,227.379999999999995453,227.259999999999990905,232.599999999999994316
